director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Director X,Trevor Jackson,Trevor Jackson,Trevor Jackson,Action Crime,Superfly
Brad Bird,Craig T. Nelson,Craig T. Nelson,Craig T. Nelson,Action Adventure Animation Family,Incredibles 2
Jeff Tomsic,Ed Helms,Ed Helms,Ed Helms,Comedy Drama,Tag
Dominic Cooke,Saoirse Ronan,Saoirse Ronan,Saoirse Ronan,Drama Romance,On Chesil Beach
Kevin Connolly,John Travolta,John Travolta,John Travolta,Crime Drama History Thriller,Gotti
J.A. Bayona,Chris Pratt,Chris Pratt,Chris Pratt,Action Adventure Science Fiction,Jurassic World: Fallen Kingdom
Shana Feste,Vera Farmiga,Vera Farmiga,Vera Farmiga,Comedy Drama,Boundaries
"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Robert Pattinson,,Comedy Western,Damsel
Mike P. Nelson,Tyler Hoechlin,Tyler Hoechlin,Tyler Hoechlin,Thriller Horror,The Domestics
Stefano Sollima,Benicio del Toro,Benicio del Toro,Benicio del Toro,Action Crime Drama Thriller,Sicario: Day of the Soldado
Debra Granik,Ben Foster,Ben Foster,Ben Foster,Drama,Leave No Trace
Charles Stone III,Kyrie Irving,Kyrie Irving,Kyrie Irving,Comedy,Uncle Drew
Susanna White,Jessica Chastain,Jessica Chastain,Jessica Chastain,Drama History Western,Woman Walks Ahead
Gerard McMurray,Y'lan Noel,Y'lan Noel,Y'lan Noel,Action Science Fiction Thriller Horror,The First Purge
Peyton Reed,Paul Rudd,Paul Rudd,Paul Rudd,Action Adventure Science Fiction Comedy,Ant-Man and the Wasp
Boots Riley,Lakeith Stanfield,Lakeith Stanfield,Lakeith Stanfield,Fantasy Science Fiction Comedy,Sorry to Bother You
Kevin MacDonald,Whitney Houston,Whitney Houston,,Documentary,Whitney
Genndy Tartakovsky,Adam Sandler,Adam Sandler,Adam Sandler,Family Fantasy Comedy Animation,Hotel Transylvania 3: Summer Vacation
Rawson Marshall Thurber,Dwayne Johnson,Dwayne Johnson,Dwayne Johnson,Action,Skyscraper
Bo Burnham,Elsie Fisher,Elsie Fisher,Elsie Fisher,Comedy Drama,Eighth Grade
Gus Van Sant,Joaquin Phoenix,Joaquin Phoenix,Joaquin Phoenix,Comedy Drama,"Don't Worry, He Won't Get Far on Foot"
Rob Reiner,Woody Harrelson,Woody Harrelson,Woody Harrelson,Drama History Thriller,Shock and Awe
Ol Parker,Lily James,Lily James,Lily James,Comedy Romance,Mamma Mia! Here We Go Again
Antoine Fuqua,Denzel Washington,Denzel Washington,Denzel Washington,Action Thriller Crime,The Equalizer 2
Carlos López Estrada,Janina Gavankar,Janina Gavankar,Janina Gavankar,Comedy Drama,Blindspotting
