director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Damien Chazelle,Ryan Gosling,Ryan Gosling,Ryan Gosling,History Drama,First Man
Drew Goddard,Jeff Bridges,Jeff Bridges,Jeff Bridges,Thriller Drama Mystery,Bad Times at the El Royale
Ari Sandel,Wendi McLendon-Covey,Wendi McLendon-Covey,Wendi McLendon-Covey,Adventure Comedy Fantasy Family Horror,Goosebumps 2: Haunted Halloween
Felix van Groeningen,Steve Carell,Steve Carell,Steve Carell,Drama,Beautiful Boy
Ike Barinholtz,Ike Barinholtz,Ike Barinholtz,Ike Barinholtz,Comedy,The Oath
Nick Searcy,Nick Searcy (director); Earl Billings,Nick Searcy (director); Earl Billings,Nick Searcy (director); Earl Billings,Drama Crime,Gosnell: The Trial of America's Biggest Serial Killer
David Gordon Green,Jamie Lee Curtis,Jamie Lee Curtis,Jamie Lee Curtis,Animation Family Mystery Comedy Crime,Halloween
Marielle Heller,Melissa McCarthy,Melissa McCarthy,,Drama Crime Comedy,Can You Ever Forgive Me?
Jonah Hill,Sunny Suljic,Sunny Suljic,Sunny Suljic,Drama,Mid90s
Paul Dano,Carey Mulligan,Carey Mulligan,Carey Mulligan,Drama,Wildlife
Elizabeth Chomko,Hilary Swank,Hilary Swank,Hilary Swank,Drama,What They Had
Donovan Marsh,Gerard Butler,Gerard Butler,Gerard Butler,Action Thriller,Hunter Killer
David Kerr,Rowan Atkinson,Rowan Atkinson,Rowan Atkinson,Action Adventure Comedy,Johnny English Strikes Again
Luca Guadagnino,Dakota Johnson,Dakota Johnson,Dakota Johnson,Horror,Suspiria
David G. Evans,Sarah Drew,Sarah Drew,Sarah Drew,Drama War,Indivisible
David McCracken,Mike C. Nelson,Mike C. Nelson,Mike C. Nelson,Action Drama Thriller,Bullitt County
Bryan Singer,Rami Malek,Rami Malek,Rami Malek,Drama Music,Bohemian Rhapsody
"Lasse Hallström, Joe Johnston",Keira Knightley,Keira Knightley,Keira Knightley,Fantasy Adventure Family,The Nutcracker and the Four Realms
Tyler Perry,Tiffany Haddish,Tiffany Haddish,Tiffany Haddish,Comedy Romance,Nobody's Fool
Joel Edgerton,Lucas Hedges,Lucas Hedges,Lucas Hedges,Drama,Boy Erased
Matthew Heineman,Rosamund Pike,Rosamund Pike,Rosamund Pike,Drama War,A Private War
Joseph Kahn,Calum Worthy,Calum Worthy,Calum Worthy,Drama Comedy Music,Bodied
Jason Reitman,Hugh Jackman,Hugh Jackman,Hugh Jackman,Drama History,The Front Runner
"Yarrow Cheney, Scott Mosier",Benedict Cumberbatch,Benedict Cumberbatch,Benedict Cumberbatch,Animation Family Comedy Fantasy,The Grinch
Fede Alvarez,Claire Foy,Claire Foy,Claire Foy,Action Crime Thriller Drama,The Girl in the Spider's Web
Julius Avery,Jovan Adepo,Jovan Adepo,Jovan Adepo,Horror War Science Fiction,Overlord
"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits",Tim Blake Nelson,Tim Blake Nelson,Tim Blake Nelson,Comedy Drama Western,The Ballad of Buster Scruggs
Daniel Fabelo & Matt Hullum,Gavin Free,Gavin Free,Gavin Free,Science Fiction Action Adventure Comedy,Lazer Team 2
James Nunn,"Chuck Norris (edited); Mike ""The Miz"" Mizanin","Chuck Norris (edited); Mike ""The Miz"" Mizanin","Chuck Norris (edited); Mike ""The Miz"" Mizanin",Action Drama,The Marine 6: Close Quarters
Josh Webber,Josh Webber (director); Shaun Cairo (Screenplay),Josh Webber (director); Shaun Cairo (Screenplay),Josh Webber (director); Shaun Cairo (Screenplay),Drama Thriller,Conundrum: Secrets Among Friends
David Yates,Eddie Redmayne,Eddie Redmayne,Eddie Redmayne,Adventure Fantasy Drama,Fantastic Beasts: The Crimes of Grindelwald
Steve McQueen,Viola Davis,Viola Davis,Viola Davis,Crime Thriller,Widows
Sean Anders,Mark Wahlberg,Mark Wahlberg,Mark Wahlberg,Comedy Drama,Instant Family
