director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language,comb
David Bowers,Adventure Animation Comedy Family,Hugh Jackman,Kate Winslet,David Suchet,flushed away,English,Hugh Jackman Kate Winslet David Suchet David Bowers Adventure Animation Comedy Family
Rob Minkoff,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,Zach Callison,Karan Brar,mr. peabody & sherman,English,Ty Burrell Zach Callison Karan Brar Rob Minkoff Adventure Animation Comedy Family Sci-Fi
Wolfgang Petersen,Adventure,Brad Pitt,Orlando Bloom,Julian Glover,troy,English,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen Adventure
Eric Darnell,Adventure Animation Comedy Family,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,madagascar 3: europe's most wanted,English,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell Adventure Animation Comedy Family
Lee Tamahori,Action Adventure Thriller,Toby Stephens,Colin Salmon,Rick Yune,die another day,English,Toby Stephens Colin Salmon Rick Yune Lee Tamahori Action Adventure Thriller
Michael Bay,Action Adventure Sci-Fi Thriller,Bruce Willis,Steve Buscemi,Will Patton,armageddon,English,Bruce Willis Steve Buscemi Will Patton Michael Bay Action Adventure Sci-Fi Thriller
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,Rosario Dawson,Rip Torn,men in black ii,English,Will Smith Rosario Dawson Rip Torn Barry Sonnenfeld Action Adventure Comedy Family Fantasy Mystery Sci-Fi
Robert Zemeckis,Action Adventure Animation Fantasy,Robin Wright,Anthony Hopkins,Sebastian Roché,beowulf,English,Robin Wright Anthony Hopkins Sebastian Roché Robert Zemeckis Action Adventure Animation Fantasy
Alessandro Carloni,Action Adventure Animation Comedy Family,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,kung fu panda 3,English,J.K. Simmons Angelina Jolie Pitt Wayne Knight Alessandro Carloni Action Adventure Animation Comedy Family
Brad Bird,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Michael Nyqvist,mission: impossible - ghost protocol,English,Tom Cruise Jeremy Renner Michael Nyqvist Brad Bird Action Adventure Thriller
Peter Ramsey,Adventure Animation Family Fantasy,Hugh Jackman,Kamil McFadden,Khamani Griffin,rise of the guardians,English,Hugh Jackman Kamil McFadden Khamani Griffin Peter Ramsey Adventure Animation Family Fantasy
Dean Parisot,Comedy Crime,John Michael Higgins,Richard Burgi,David Herman,fun with dick and jane,English,John Michael Higgins Richard Burgi David Herman Dean Parisot Comedy Crime
Edward Zwick,Action Drama History War,Tom Cruise,Tony Goldwyn,Chad Lindberg,the last samurai,English,Tom Cruise Tony Goldwyn Chad Lindberg Edward Zwick Action Drama History War
J.J. Abrams,Action Adventure Sci-Fi,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,star trek,English,Chris Hemsworth Leonard Nimoy Bruce Greenwood J.J. Abrams Action Adventure Sci-Fi
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,spider-man,English,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
Dean DeBlois,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,Djimon Hounsou,America Ferrera,how to train your dragon 2,English,Gerard Butler Djimon Hounsou America Ferrera Dean DeBlois Action Adventure Animation Comedy Family Fantasy
Alex Proyas,Action Adventure Fantasy,Gerard Butler,Elodie Yung,Bryan Brown,gods of egypt,English,Gerard Butler Elodie Yung Bryan Brown Alex Proyas Action Adventure Fantasy
Rob Cohen,Action Adventure Sci-Fi Thriller,Sam Shepard,Joe Morton,Richard Roxburgh,stealth,English,Sam Shepard Joe Morton Richard Roxburgh Rob Cohen Action Adventure Sci-Fi Thriller
Zack Snyder,Action Drama Mystery Sci-Fi,Matt Frewer,Billy Crudup,Stephen McHattie,watchmen,English,Matt Frewer Billy Crudup Stephen McHattie Zack Snyder Action Drama Mystery Sci-Fi
Richard Donner,Action Crime Thriller,Jet Li,Rene Russo,Darlene Love,lethal weapon 4,English,Jet Li Rene Russo Darlene Love Richard Donner Action Crime Thriller
Ang Lee,Action Sci-Fi,Kevin Rankin,Regi Davis,Celia Weston,hulk,English,Kevin Rankin Regi Davis Celia Weston Ang Lee Action Sci-Fi
Jon M. Chu,Action Adventure Sci-Fi Thriller,Channing Tatum,Dwayne Johnson,Elodie Yung,g.i. joe: retaliation,English,Channing Tatum Dwayne Johnson Elodie Yung Jon M. Chu Action Adventure Sci-Fi Thriller
Hironobu Sakaguchi,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi,Ming-Na Wen,Jean Simmons,final fantasy: the spirits within,English,Steve Buscemi Ming-Na Wen Jean Simmons Hironobu Sakaguchi Action Adventure Animation Fantasy Romance Sci-Fi
Joe Johnston,Action Adventure Sci-Fi,Chris Evans,Dominic Cooper,Hayley Atwell,captain america: the first avenger,English,Chris Evans Dominic Cooper Hayley Atwell Joe Johnston Action Adventure Sci-Fi
