director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,language,comb
Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Rainn Wilson,Stephen Colbert,monsters vs. aliens,English,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Jeff Bridges,Jon Favreau,iron man,English,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi
Martin Scorsese,Adventure Drama Family Mystery,Chloë Grace Moretz,Christopher Lee,Ray Winstone,hugo,English,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery
Barry Sonnenfeld,Action Comedy Sci-Fi Western,Will Smith,Salma Hayek,Bai Ling,wild wild west,English,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western
Rob Cohen,Action Adventure Fantasy Horror Thriller,Jet Li,Brendan Fraser,Russell Wong,the mummy: tomb of the dragon emperor,English,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller
David Ayer,Action Adventure Comedy Sci-Fi,Will Smith,Robin Atkin Downes,Ike Barinholtz,suicide squad,English,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi
Tom Shadyac,Comedy Family Fantasy,Jimmy Bennett,Morgan Freeman,Steve Carell,evan almighty,English,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy
Doug Liman,Action Adventure Sci-Fi,Tom Cruise,Lara Pulver,Noah Taylor,edge of tomorrow,English,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi
Kevin Reynolds,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,waterworld,English,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller
Stephen Sommers,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,g.i. joe: the rise of cobra,English,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller
Pete Docter,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Mindy Kaling,Phyllis Smith,inside out,English,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy
Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,iron man 2,English,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi
